Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price
Airoli,1004.67,2BHK,1.0,2,5.0,15.4,yes,NO,13067904
Ulwe,780.03,3,,26,38.0,7.2,,No,15339739
Ulwe,1287.54,2,3.0,,35.0,10.4,yes,,19454778
 panvel,841.04,4,3.0,14,34.0,15.4,Yes,Yes,14367262
Kharghar,814.31,4,4.0,7,34.0,1.9,,No,15050510
Ulwe,708.41,3,3.0,9,16.0,8.5,Yes,No,11466200
Kharghar,1008.33,2BHK,2.0,22,34.0,11.5,no,,16340732
Airoli,413.57,3,,34,35.0,12.5,Yes,Yes,7439508
Ghansoli,950.21,4,2.0,8,22.0,11.6,Yes,NO,14703069 INR
nerul,786.08,,2.0,34,,12.7,no,No,12290414
Ulwe,1272.85,2BHK,2.0,Ground,36.0,2.2,no,Yes,20996596
Belapur,1302.96,2,3.0,24,18.0,14.2,,,20181316
CBD Belapur,698.38,1,3.0,28,9.0,7.3,no,YES,9440668
Ulwe,535.1,,1.0,26,23.0,6.9,no,Yes,6880420
 panvel,717.33,2,2.0,0,27.0,1.9,Yes,No,8417872
Nerul,942.66,1,2.0,15,34.0,4.1,,No,12074384 INR
Ghansoli,628.02,2,2.0,34,17.0,10.4,,NO,6142680
KHARGHAR ,1188.83,2,,20,37.0,1.2,yes,Yes,16944488
nerul,699.6,,3.0,1,12.0,5.7,yes,YES,7884780
nerul,163.78,1,2.0,3,20.0,20.0,Yes,NO,2613405
Airoli,351.54,3,2.0,25,8.0,2.5,,No,6316538
Vashi,1100.6,,2.0,11,9.0,6.4,Yes,NO,16630868
Vashi,1525.78,2,3.0,28,13.0,5.2,,YES,₹24426717
Airoli,160.79,1,4.0,0,9.0,13.8,Yes,YES,3019558
Nerul,1294.73,2BHK,,21,20.0,0.5,no,No,18505432
CBD Belapur,662.61,2,4.0,9,34.0,4.5,yes,,8503987
Belapur,1272.24,3,3.0,22,21.0,8.5,no,YES,14325813
,979.1,3,,10,1.0,1.0,,,10776947
nerul,834.01,,3.0,21,13.0,3.0,yes,No,10743096
Kharghar,1279.64,,,17,26.0,7.0,No,No,22829962
Belapur,1609.79,2BHK,1.0,3,24.0,14.4,yes,,24456626 INR
 panvel,1263.62,3,,27,,10.2,No,NO,22376808
KHARGHAR ,4598.47,2,3.0,28,,12.0,No,NO,₹73192702
 panvel,763.3,2BHK,3.0,21,12.0,0.9,yes,YES,8187523
,1481.05,,2.0,3,1.0,21.3,no,No,₹16252828
Kharghar,3962.94,3,1.0,2,9.0,9.1,,No,49391176
Airoli,586.13,1,1.0,0,13.0,5.3,Yes,NO,6497022
Ghansoli,-360.0,4,4.0,22,20.0,3.1,,YES,-5654861
Belapur,1184.84,4,2.0,20,5.0,1.2,yes,No,12513789
Nerul,252.27,4,2.0,11,26.0,11.5,Yes,Yes,4327021
KHARGHAR ,999.63,3,1.0,6,5.0,0.4,yes,,17433573
Ghansoli,4550.06,2,2.0,4,10.0,1.6,,NO,64376894 INR
Panvel,2980.99,3,1.0,23,17.0,4.9,,Yes,45066556 INR
Airoli,1512.55,,,12,31.0,0.6,yes,Yes,14852173
,1070.94,3,3.0,27,10.0,8.0,No,,19631339
Belapur,996.47,3,,3,32.0,2.9,,YES,18763967
Ulwe,1323.2,3,1.0,11,35.0,10.5,no,,25983033
Ulwe,390.37,4,1.0,17,28.0,1.1,,NO,8338332
KHARGHAR ,1350.42,2,2.0,10,24.0,8.2,,Yes,17945384
KHARGHAR ,1497.88,,4.0,6,11.0,1.1,No,,23965990
CBD Belapur,298.11,4,4.0,27,10.0,11.3,Yes,YES,5878853
Nerul,848.34,2,4.0,12,3.0,2.2,No,YES,11679458
KHARGHAR ,1578.86,4,,15,9.0,14.1,Yes,Yes,17439165
nerul,776.98,2BHK,3.0,20,10.0,10.4,no,Yes,11433883
Ulwe,984.78,2,1.0,18,24.0,4.8,no,No,17679624
Airoli,771.34,2BHK,4.0,23,11.0,11.7,yes,Yes,10398279
Kharghar,1019.52,4,3.0,6,,20.0,Yes,Yes,12568863
Belapur,986.44,1,1.0,7,33.0,18.8,yes,YES,15592878
Airoli,1331.6,2BHK,1.0,8,10.0,11.9,No,NO,22074309
